title,tags_x,genre,popularity,vote_count,vote_average
inuyasha the movie: affections touching across time,"toshiya shinohara kappei yamaguchi, satsuki yukino, koji tsujitani, houko kuwashima, kumiko watanabe, kenichi ogata, noriko hidaka, hisako kyoda, ken narita, tomokazu seki action & adventure, anim features, intern movi a power demon ha been seal away for 200 years. but when the demon' son is awakened, the fate of the world is in jeopardy.","Action, Animation, Adventure, Fantasy",24.115,137.0,popular
naruto shippuden the movie: blood prison,"masahiko murata junko takeuchi, chie nakamura, rikiya koyama, kazuhiko inoue, masaki terasoma, mie sonozaki, yuichi nakamura, kengo kawanishi, kosei hirota, masako katsuki action & adventure, anim features, intern movi mistakenli accus of an attack on the fourth raikage, ninja naruto is imprison in the impenetr hozuki castl and hi power are sealed.","Thriller, Animation, Action, Comedy, Horror, Mystery",115.71,345.0,popular
nightbooks,"david yaroveski winslow fegley, lidya jewett, krysten ritter children & famili movi scari stori fan alex must tell a spine-tingl tale everi night — or stay trap with hi new friend in a wick witch' magic apart forever.","Fantasy, Family",90.367,226.0,below_avg
schumacher,"hanns-bruno kammertöns, vanessa nöcker, michael wech michael schumach documentaries, intern movies, sport movi through exclus interview and archiv footage, thi documentari trace an intim portrait of seven-tim formula 1 champion michael schumacher.",Documentary,33.536,245.0,popular
kate,"cedric nicolas-troyan mari elizabeth winstead, jun kunimura, woodi harrelson, tadanobu asano, miyavi, michiel huisman, miku martineau action & adventur slip a fatal poison on her final job, a ruthless assassin work in tokyo ha less than 24 hour to find out who order the hit and exact revenge.",Action,110.146,969.0,average
prey,"thoma sieben david kross, hanno koffler, maria ehrich, robert finster, yung ngo, klau steinbacher, livia matthes, nelli thalbach intern movies, thriller a hike trip into the wild turn into a desper bid for surviv for five friend on the run from a mysteri shooter.",Thriller,60.901,215.0,not_popular
paradise hills,"alic waddington emma roberts, daniel macdonald, awkwafina, eiza gonzález, milla jovovich, jeremi irvine, arnaud valois, daniel horvath sci-fi & fantasy, thriller uma wake up in a lush tropic facil design to turn will girl into perfect ladies. that’ bad enough, but it real purpos is even worse.","Fantasy, Science Fiction, Thriller",20.748,398.0,not_popular
the women and the murderer,"mona achache, patricia tourancheau documentaries, intern movi thi documentari trace the captur of serial killer guy georg through the tireless work of two women: a polic chief and a victim' mother.","Documentary, Crime",19.037,18.0,not_popular
jj+e,"alexi almström elsa öhrn, mustapha aarab, jonay pineda skallak, magnu krepper, loreen, albin grenholm, simon mezher, elsa bergström terent, josef kadim, yohann frezgi dramas, intern movies, romant movi elisabeth and john-john live in the same city, but they inhabit differ worlds. can a passion first love break through class and cultur barriers?","Romance, Drama",36.672,64.0,not_popular
show dogs,"raja gosnel will arnett, ludacris, natasha lyonne, stanley tucci, jordin sparks, gabriel iglesias, shaquil o'neal, omar chaparro, alan cumming, andi beckwith, delia sheppard, kerri shale children & famili movies, comedi a rough and tough polic dog must go undercov with an fbi agent as a prim and proper pet at a dog show to save a babi panda from an illeg sale.","Adventure, Crime, Family, Comedy",17.946,196.0,not_popular
the circle,"michel buteau realiti tv statu and strategi collid in thi social experi and competit show where onlin player flirt, befriend and catfish their way toward $100,000.","Drama, Thriller, Science Fiction",26.956,3815.0,not_popular
worth,"sara colangelo michael keaton, stanley tucci, ami ryan, shunori ramanathan, ato blankson-wood, tate donovan, laura benanti, chri tardio drama in the wake of the sept. 11 attacks, a lawyer face an emot reckon as he attempt to put a dollar valu on the live lost. base on real events.","History, Drama",13.446,181.0,average
afterlife of the party,"stephen herek victoria justice, midori francis, robyn scott, adam garcia, timothi renouf, gloria garcia, myfanwi waring, spencer sutherland comedies, romant movi cassi live to party... until she die in a freak accident. now thi social butterfli need to right her wrong on earth if she want to earn her wings.","Fantasy, Comedy, Drama",39.156,331.0,average
in the cut,"jane campion meg ryan, mark ruffalo, jennif jason leigh, nick damici, sharrieff pugh, kevin bacon, yaani king mondschein, heather litteer thriller after embark on an affair with the cop probe the murder of a young woman, an insular schoolteach suspect her lover wa involv in the crime.","Drama, Mystery, Thriller",14.655,302.0,not_popular
a cinderella story,"mark rosman hilari duff, chad michael murray, jennif coolidge, dan byrd, regina king, juli gonzalo, lin shaye, madelin zima, andrea avery, mari pat gleason, paul rodriguez, whip hubley, kevin kilner, erica hubbard, simon helberg children & famili movies, comedi teen sam meet the boy of her dream at a danc befor return to toil in her stepmother' diner. can her lost cell phone bring them together?",Comedy,34.681,2685.0,below_avg
an unfinished life,"lass hallström robert redford, jennif lopez, morgan freeman, josh lucas, damian lewis, camryn manheim, becca gardner, lynda boyd, rob hayter, p. lynn johnson drama a griev widow and her daughter move in with her estrang father-in-law in wyoming, where time allow them to heal and forgive.",Drama,14.566,472.0,average
chappie,"neill blomkamp sharlto copley, hugh jackman, sigourney weaver, dev patel, ninja, yo-landi visser, jose pablo cantillo, brandon auret, johnni selema, mauric carped action & adventure, sci-fi & fantasi in a futurist societi where an indestruct robot polic forc keep crime at bay, a lone droid evolv to the next level of artifici intelligence.","Crime, Action, Science Fiction",84.912,6734.0,average
clear and present danger,"phillip noyc harrison ford, willem dafoe, ann archer, joaquim de almeida, henri czerny, harri yulin, donald moffat, miguel sandoval, benjamin bratt, dean jones, thora birch, jame earl jones, raymond cruz action & adventure, drama when the president' friend is murdered, cia deputi director jack ryan becom unwittingli involv in an illeg war against a colombian drug cartel.","Action, Drama, Thriller",22.961,1110.0,average
cliffhanger,"renni harlin sylvest stallone, john lithgow, michael rooker, janin turner, rex linn, carolin goodall, leon, craig fairbrass, ralph waite, max perlich, paul winfield action & adventur ranger gabe walker and hi partner are call to rescu a group of strand climbers, onli to learn the climber are actual thiev hijackers.","Action, Adventure, Thriller",27.776,1805.0,below_avg
cold mountain,"anthoni minghella jude law, nicol kidman, rené zellweger, eileen atkins, brendan gleeson, philip seymour hoffman, natali portman, giovanni ribisi, donald sutherland, ray winston dramas, romant movi thi drama follow a wound civil war soldier make the long journey home, while hi faraway love fight for surviv on her deceas father' farm.","Adventure, Drama, History, Romance",18.746,1401.0,average
